Metabolite ID	Standard Gibbs energy of formation (kJ/mol)	Uncertainty corresponding to 95% confidence interval (kJ/mol)	Standard transformed Gibbs energy of formation (kJ/mol)	Minimum transformed Gibbs energy of formation (kJ/mol)	Maximum transformed Gibbs energy of formation (kJ/mol)	Minimum concentration (M)	Maximum concentration (M)
10fthf5glu[c]	-2486.00	100000.03	-528.85	-196558.60	195459.33	1.00e-05	1.00e-02
10fthf5glu[l]	-2486.00	100000.03	-983.57	-197013.31	195004.61	1.00e-05	1.00e-02
10fthf5glu[m]	-2486.00	100000.03	-315.09	-196344.83	195673.09	1.00e-05	1.00e-02
10fthf6glu[c]	-2965.78	100000.03	-747.71	-196777.45	195240.48	1.00e-05	1.00e-02
10fthf6glu[l]	-2965.78	100000.03	-1264.22	-197293.97	194723.96	1.00e-05	1.00e-02
10fthf6glu[m]	-2965.78	100000.03	-505.41	-196535.15	195482.78	1.00e-05	1.00e-02
10fthf7glu[c]	-3405.44	100000.03	-926.38	-196956.14	195061.81	1.00e-05	1.00e-02
10fthf7glu[l]	-3405.44	100000.03	-1502.18	-197531.94	194486.01	1.00e-05	1.00e-02
10fthf7glu[m]	-3405.44	100000.03	-655.61	-196685.37	195332.58	1.00e-05	1.00e-02
10fthf[c]	-642.11	100000.02	269.80	-195759.94	196257.97	1.00e-05	1.00e-02
10fthf[l]	-642.11	100000.02	56.56	-195973.18	196044.73	1.00e-05	1.00e-02
10fthf[m]	-642.11	100000.02	366.60	-195663.13	196354.77	1.00e-05	1.00e-02
11docrtsl[c]	-1466.32	250713.27	-161.54	-491589.25	491224.60	1.00e-05	1.00e-02
11docrtsl[m]	-1466.32	250713.27	-19.04	-491446.74	491367.10	1.00e-05	1.00e-02
11docrtsl[r]	-1466.32	250713.27	-161.54	-491589.25	491224.60	1.00e-05	1.00e-02
11docrtstrn[c]	-1299.00	250713.27	5.78	-491421.93	491391.91	1.00e-05	1.00e-02
11docrtstrn[m]	-1299.00	250713.27	148.28	-491279.42	491534.42	1.00e-05	1.00e-02
11docrtstrn[r]	-1299.00	250713.27	5.78	-491421.93	491391.91	1.00e-05	1.00e-02
13dampp[c]	-22.90	15.55	498.74	438.58	517.35	1.00e-05	1.00e-02
h2o[c]	-220.41	4.38	-133.43	-142.01	-124.85	1.00e+00	1.00e+00
o2[c]	16.40	25.18	16.40	-62.65	53.88	1.00e-05	1.00e-02
bamppald[c]	-131.10	8.82	216.82	169.84	222.24	1.00e-05	1.00e-02
h2o2[c]	-134.03	25.18	-47.05	-126.09	-9.56	1.00e-05	1.00e-02
nh4[c]	-80.20	25.18	93.67	25.58	124.95	7.00e-04	9.00e-04
h2o[m]	-220.41	4.38	-123.93	-132.51	-115.35	1.00e+00	1.00e+00
o2[m]	16.40	25.18	16.40	-62.65	53.88	1.00e-05	1.00e-02
2425dhvitd2[m]	-415.45	106904.51	1707.23	-207855.29	211228.19	1.00e-05	1.00e-02
h[m]	-0.00	0.00	47.50	0.00	0.00	1.00e-08	1.00e-08
nadph[m]	-3117.39	23.68	-1863.10	-1951.07	-1830.81	1.00e-07	4.20e-03
1a2425thvitd2[m]	-580.39	106904.51	1542.29	-208020.24	211063.24	1.00e-05	1.00e-02
nadp[m]	-3147.09	24.31	-1941.10	-2030.32	-1910.22	1.00e-07	1.50e-03
2425dhvitd3[m]	-479.93	106904.51	1642.75	-207919.77	211163.71	1.00e-05	1.00e-02
1a25dhvitd2[m]	-415.30	106904.51	1707.38	-207855.14	211228.34	1.00e-05	1.00e-02
1a25dhvitd3[m]	-486.94	106904.51	1635.74	-207926.78	211156.70	1.00e-05	1.00e-02
h[c]	-0.00	0.00	42.75	0.00	0.00	6.31e-08	6.31e-08
1mncam[c]	-23.93	17.26	367.12	303.60	389.07	1.00e-05	1.00e-02
1mncam[e]	-23.93	17.26	377.94	314.42	399.89	1.00e-05	1.00e-02
atp[c]	-1046.84	100000.00	-526.80	-196543.96	195459.48	1.29e-03	4.90e-03
adp[c]	-1917.78	25.35	-1397.75	-1488.99	-1364.23	1.00e-07	1.90e-03
pi[c]	-1084.75	5.26	-1042.41	-1070.52	-1045.17	1.00e-03	6.30e-03
h[x]	-0.00	0.00	41.56	0.00	0.00	1.00e-07	1.00e-07
1pipdn2c[x]	-252.51	16.04	85.93	24.80	105.49	1.00e-05	1.00e-02
nadh[x]	-2268.62	22.18	-1126.39	-1199.56	-1094.78	1.00e-05	1.00e-02
Lpipecol[x]	-343.49	16.93	121.87	59.00	143.17	1.00e-05	1.00e-02
nad[x]	-2298.09	22.80	-1198.73	-1273.10	-1165.92	1.00e-05	1.00e-02
2425dhvitd2[c]	-415.45	106904.51	1498.22	-208064.30	211019.18	1.00e-05	1.00e-02
2425dhvitd2[e]	-415.45	106904.51	1550.48	-208012.05	211071.44	1.00e-05	1.00e-02
2425dhvitd3[c]	-479.93	106904.51	1433.74	-208128.78	210954.70	1.00e-05	1.00e-02
2425dhvitd3[e]	-479.93	106904.51	1485.99	-208076.53	211006.95	1.00e-05	1.00e-02
25hvitd2[m]	-250.35	106904.51	1872.33	-207690.20	211393.29	1.00e-05	1.00e-02
25hvitd3[m]	-321.99	106904.51	1800.69	-207761.84	211321.65	1.00e-05	1.00e-02
24nph[e]	-232.36	100000.00	-57.23	-196086.92	195930.90	1.00e-05	1.00e-02
24nph[c]	-232.36	100000.00	-61.14	-196090.83	195926.99	1.00e-05	1.00e-02
25hvitd2[c]	-250.35	106904.51	1663.32	-207899.21	211184.28	1.00e-05	1.00e-02
25hvitd2[e]	-250.35	106904.51	1715.57	-207846.95	211236.53	1.00e-05	1.00e-02
25hvitd3[c]	-321.99	106904.51	1591.68	-207970.85	211112.64	1.00e-05	1.00e-02
25hvitd3[e]	-321.99	106904.51	1643.93	-207918.59	211164.89	1.00e-05	1.00e-02
2amac[c]	-297.55	4.83	-80.24	-119.41	-82.65	1.00e-05	1.00e-02
pyr[c]	-476.43	3.99	-345.95	-383.46	-350.01	1.00e-05	1.00e-02
nadph[c]	-3117.39	23.68	-1986.68	-2074.65	-1960.61	1.00e-07	3.75e-04
nadp[c]	-3147.09	24.31	-2060.24	-2149.46	-2043.67	1.00e-07	5.83e-06
paps[c]	-1888.11	9.73	-1410.11	-1458.86	-1402.92	1.00e-05	1.00e-02
Lcyst[c]	-330.25	100000.00	-69.41	-196099.10	195918.72	1.00e-05	1.00e-02
pap[c]	-1888.11	9.73	-1410.11	-1458.86	-1402.92	1.00e-05	1.00e-02
L2aadp[c]	-633.94	8.80	-199.04	-245.99	-193.67	1.00e-05	1.00e-02
L2aadp[m]	-633.94	8.80	-151.65	-198.59	-146.27	1.00e-05	1.00e-02
akg[m]	-804.80	6.71	-611.82	-654.67	-610.54	1.00e-05	1.00e-02
akg[c]	-804.80	6.71	-630.83	-673.68	-629.54	1.00e-05	1.00e-02
2dr1p[c]	-1428.34	6.90	-1037.31	-1080.52	-1035.67	1.00e-05	1.00e-02
drib[c]	-587.06	5.56	-152.14	-192.72	-153.12	1.00e-05	1.00e-02
nadh[c]	-2268.62	22.18	-1094.32	-1173.63	-1071.13	9.26e-07	3.83e-04
nad[c]	-2298.09	22.80	-1167.66	-1235.95	-1141.50	1.05e-04	7.57e-04
2hb[c]	-507.26	9.17	-202.81	-250.47	-196.72	1.00e-05	1.00e-02
2obut[c]	-477.70	10.67	-260.24	-310.83	-251.21	1.00e-05	1.00e-02
