Metabolites which force 480 qualitatively reversible -> quantiatively reversible
35:	212	h[c]Proton
75:	105	h[e]Proton
28:	42	h[m]Proton
41:	24	h[x]Proton
77:	24	hco3[e]Bicarbonate
78:	24	hco3[c]Bicarbonate
68:	17	akg[c]2-Oxoglutarate
729:	17	h[r]Proton
478:	11	mal_L[c](S)-Malate
849:	10	for[c]Formate
1863:	10	icit[c]Isocitric Acid
274:	9	acac[c]Acetoacetate
330:	9	ac[c]Acetate
378:	9	cit[m]Citrate
479:	9	mal_L[m](S)-Malate
480:	9	akg[e]2-Oxoglutarate
742:	9	but[c]Butyrate
2590:	9	but[e]Butyrate
38:	8	atp[c]Adenosine Triphosphate
40:	8	pi[c]Orthophosphate
59:	8	pyr[c]Pyruvate
73:	8	2hb[c]2-Hydroxybutyrate
76:	8	2hb[e]2-Hydroxybutyrate
333:	8	ac[e]Acetate
338:	8	cit[c]Citrate
704:	8	succ[c]Succinate
712:	8	bhb[e](R)-3-Hydroxybutyrate
713:	8	bhb[c](R)-3-Hydroxybutyrate
850:	8	for[e]Formate
1917:	8	lac_L[c](S)-Lactate
2587:	8	pyr[e]Pyruvate
2588:	8	acac[e]Acetoacetate
2589:	8	lac_L[e](S)-Lactate
379:	7	icit[m]Isocitric Acid
2063:	7	succ[m]Succinate
2400:	7	HC00342[m]Cis-Aconitate
67:	6	akg[m]2-Oxoglutarate
265:	6	h[l]Proton
391:	6	amp[c]Adenosine Monophosphate
435:	6	fum[c]Fumarate
520:	6	dhap[c]Dihydroxyacetone Phosphate
2629:	6	HC00342[c]Cis-Aconitate
21:	5	o2[c]Oxygen
23:	5	h2o2[c]Hydrogen Peroxide
39:	5	adp[c]Adenosine Diphosphate
103:	5	co2[c]Carbon Dioxide
958:	5	h[n]Proton
1551:	5	fum[m]Fumarate
1553:	5	so4[c]Sulfate
24:	4	nh4[c]Ammonium
231:	4	h[g]Proton
295:	4	pi[m]Orthophosphate
392:	4	ppi[c]Diphosphate
597:	4	Rtotal[c]R Total
634:	4	o2s[c]Superoxide
809:	4	pe_hs[c]Phosphatidylethanolamine
810:	4	crm_hs[c]N-Acylsphingosine
814:	4	gluside_hs[c]D-Glucosyl-N-Acylsphingosine
853:	4	oxa[c]Oxalate
1163:	4	g3p[c]Glyceraldehyde 3-Phosphate
1464:	4	fald[c]Formaldehyde
1642:	4	galside_hs[c]D-Galactosyl-N-Acylsphingosine
2630:	4	oxa[m]Oxalate
20:	3	h2o[c]Water
290:	3	acald[c]Acetaldehyde
