Metabolites which force 67 qualitatively forward -> quantiatively forward
20:	28	h2o[c]Water
40:	19	pi[c]Orthophosphate
35:	16	h[c]Proton
191:	9	h2o[e]Water
75:	8	h[e]Proton
28:	6	h[m]Proton
735:	6	h2o[n]Water
2146:	6	pi[n]Orthophosphate
138:	5	h2o[l]Water
541:	5	glc_D[e]D-Glucose
707:	5	glc_D[c]D-Glucose
23:	4	h2o2[c]Hydrogen Peroxide
21:	3	o2[c]Oxygen
25:	3	h2o[m]Water
41:	3	h[x]Proton
265:	3	h[l]Proton
374:	3	h2o2[x]Hydrogen Peroxide
1659:	3	glc_D[l]D-Glucose
2106:	3	pail45p_hs[c]Phosphatidylinositol 4,5-Bisphosphate
2108:	3	pail4p_hs[c]1-Phosphatidyl-1D-Myo-Inositol 4-Phosphate
2145:	3	pail345p_hs[c]1-Phosphatidyl-1D-Myo-Inositol 3,4,5-Trisphosphate
2148:	3	pail34p_hs[c]1-Phosphatidyl-1D-Myo-Inositol 3,4-Bisphosphate
2149:	3	pail34p_hs[n]1-Phosphatidyl-1D-Myo-Inositol 3,4-Bisphosphate
24:	2	nh4[c]Ammonium
295:	2	pi[m]Orthophosphate
373:	2	o2[x]Oxygen
384:	2	h2o[x]Water
527:	2	h2o[r]Water
544:	2	glygn4[e]Glycogen, Structure 4 (Glycogenin-1,6-{2[1,4-Glc], [1,4-Glc]})
631:	2	crm_hs[l]N-Acylsphingosine
653:	2	pi[e]Orthophosphate
729:	2	h[r]Proton
802:	2	pail_hs[c]1-Phosphatidyl-1D-Myo-Inositol
810:	2	crm_hs[c]N-Acylsphingosine
1154:	2	3pg[c]3-Phospho-D-Glycerate
1276:	2	glygn5[e]Glycogen, Structure 5 (Glycogenin-2[1,4-Glc])
1464:	2	fald[c]Formaldehyde
1649:	2	malt[e]Maltose
1745:	2	dxtrn[c]Phosphorylase-Limit Dextrin (Glycogenin-1,6{4[1,4-Glc], 4[1,4-Glc]})
