Taxon,CSM5MCXD,CSM5MCY2,CSM67U9J,CSM67UAW,CSM67UB9
Acidaminococcaceae,0.0,0.0058135183638601765,0.0,0.0,0.002582389012332642
Actinomycetaceae,3.351784160294832e-06,1.7066348011332055e-05,2.2332040395771047e-06,0.0001894787680174185,3.0960887027739782e-06
Acutalibacteraceae,4.502563388662724e-05,0.0,1.2611034576435416e-05,0.0,0.0
Akkermansiaceae,0.0023640133682559447,9.394320006237829e-06,0.0027918991443018947,0.0,0.0
Alcaligenaceae,0.0,1.565720001039638e-06,0.0,0.0,0.0
Anaerotignaceae,0.005209119489652875,0.00021747850814440574,0.002532059286049923,3.068320743920342e-05,2.4266641183904153e-06
Anaerovoracaceae,0.0,0.0001224393040812997,0.0,1.653705336009015e-05,0.0
Atopobiaceae,0.0,0.0,0.0,3.984832134961483e-06,0.0
Bacteroidaceae,0.6799982391960544,0.629474397189971,0.7382646769782018,0.5447536497077524,0.8630319645218358
Barnesiellaceae,0.00017842664346636155,0.006352282616217915,0.00012098711296767726,7.969664269922966e-05,0.000221997927796199
Bifidobacteriaceae,2.055760951647497e-05,6.716938804460047e-05,0.0003850306494117938,0.00011615785673412721,2.2593079722945246e-06
Brevibacteriaceae,0.0,0.0,1.0509195480362845e-06,0.0,0.0
Butyricicoccaceae,1.5865111692062203e-05,2.6930384017881775e-05,2.758663813595247e-05,1.6138570146594003e-05,3.012410629726033e-06
Campylobacteraceae,1.1507792283678923e-05,0.0,4.9918678531723515e-06,0.0,2.0082737531506887e-06
Carnobacteriaceae,0.0,0.0,0.0,8.567389090167188e-06,0.0
Christensenellaceae,0.0,4.9633324032956524e-05,1.3136494350453557e-06,1.6537053360090155e-05,0.0
Clostridiaceae,0.031613693021484826,0.006268673168162399,0.0383908792794265,0.01870380583347546,0.0013618606388553108
Comamonadaceae,0.0,0.0,0.0,1.9924160674807413e-06,0.0
Coprobacillaceae,0.0005071249434526081,0.00018898240412548433,0.0005530464121540948,0.00023689827042346016,9.463990061722621e-05
Coriobacteriaceae,0.004973824241600177,0.001617858477074258,0.0016218315925069962,0.0008908092237706394,0.0011176043436283583
Corynebacteriaceae,2.9048796055888543e-06,8.924604005925938e-06,9.19554604531749e-06,4.184073741709558e-06,0.0
Desulfitobacteriaceae,0.0,0.0,6.5682471752267784e-06,0.0,0.0
Desulfovibrionaceae,0.0,0.0028698081899055524,0.0,5.3795233821980016e-05,6.694245843835629e-06
Dethiosulfovibrionaceae,1.8993443575004047e-06,0.0,1.9704741525680337e-06,0.0,0.0
Eggerthellaceae,0.00017663902524753765,5.354762403555562e-05,0.00011612661005800945,4.3036187057584014e-05,7.773692986154124e-05
Enterobacteriaceae,0.0004038899913155273,0.00044857878029785637,0.003101789046029094,0.0026688413223904532,4.518615944589049e-06
Enterococcaceae,2.4579750508828768e-06,1.3621764009044852e-05,0.0,0.0,2.761376410582197e-06
Erwiniaceae,0.0,5.0103040033268416e-06,0.0,0.0,0.0
Erysipelotrichaceae,0.03284882548455347,0.012924079176581588,0.03380624275111821,0.020290366748010373,0.0033948194235551435
Eubacteriaceae,0.001800243272494354,0.0021306317774147394,0.0004895971444414041,0.0047941515415721595,0.00018325497997500034
Eubacteriales_Family_XIII._Incertae_Sedis,1.5306480998679734e-05,1.565720001039638e-06,6.830977062235851e-06,5.180281775449928e-05,0.0
Fusobacteriaceae,2.234522773529888e-06,1.565720001039638e-06,2.101839096072569e-06,9.962080337403707e-06,0.0
Gemellaceae,0.0,0.0,0.0,7.571181056426817e-06,0.0
Lachnospraceae,0.14253920218822347,0.10334644467262205,0.09857113037300681,0.10191526971734789,0.06313502243660173
Lactobacillaceae,7.709103568678112e-06,1.8632068012371692e-05,0.0,4.582556955205705e-06,0.0
Micrococcaceae,1.117261386764944e-06,1.315204800873296e-05,1.3136494350453557e-06,1.0759046764396004e-05,0.0
Monoglobaceae,0.0002729469567866758,0.00034383211222830453,0.00021675215678248368,0.00038314160977654657,0.0
Moraxellaceae,0.0,0.0,0.0,0.0,1.171493022671235e-06
Morganellaceae,0.0,0.0,4.203678192145138e-06,1.7931744607326671e-06,0.0
Muribaculaceae,0.0,2.0667504013723224e-05,0.0,3.7855905282134084e-06,9.037231889178098e-06
Neisseriaceae,0.0,0.0,5.517327627190494e-06,0.0,0.0
Nocardioidaceae,0.0,3.131440002079276e-06,0.0,0.0,0.0
Odoribacteraceae,1.2848505947796855e-05,0.006464075024292146,2.2988865113293723e-05,0.012588682439163567,0.0002917854407181855
Oscillospraceae,0.07478456127994358,0.09672125706022291,0.060756023640960694,0.1732174650410677,0.009240736962830702
Oxalobacteraceae,0.0,0.00011100954807371034,0.0,0.00020143326442230295,0.0
Pasteurellaceae,0.0,0.0005545780243682399,4.755410954864188e-05,4.443087830482053e-05,0.0
Peptoniphilaceae,2.234522773529888e-06,0.0,4.991867853172352e-06,1.77325030005786e-05,0.0
