Var1 Var2 Var3
13DAMPPOX -0.545088826 0.526344993
1a_24_25VITD2Hm NaN 0
1a_24_25VITD3Hm NaN 0
1a_25VITD2Hm NaN 0
1a_25VITD3Hm NaN 0
1PPDCRp NaN 0
24_25VITD2Hm 0.157599974 0.931586767
24_25VITD3Hm 0.157599974 0.931586767
25VITD2Hm 3.393535213 0.000646186
25VITD3Hm 3.393535213 0.000646186
2AMACHYD 1.324813323 0.182284814
2AMACSULT NaN 0
2DR1PP NaN 0
2HBO_f 1.705034109 0.240100059
2OXOADOXm -1.141595177 0.005163048
34DHOXPEGOX_f NaN 0
34DHPHAMT 0.912225302 0.046261261
34DHPLACOX -0.5001358 0.365753103
34DHPLACOX_NADP_ -0.5001358 0.365753103
34DHXMANDACOX -0.5001358 0.365753103
34DHXMANDACOX_NADP_ -0.5001358 0.365753103
34HPLFM NaN 0
34HPPOR -1.96135163 0.010435899
3AIBTm_f NaN 0
3DPHBH1 NaN 0
3DPHBH2 NaN 0
3DSPHR -0.392646902 0.297027572
3HAO -2.506175478 4.92e-05
3HBCDm_f -0.607648333 0.233700891
3HBCOAHLm NaN 0
3HKYNAKGAT 0.88504788 0.086072525
3HLYTCL 1.876839591 0.108759826
3HPCOAHYD NaN 0
3HPPD_f NaN 0
3HXKYNDCL 1.876839591 0.108759826
3HXKYNOXDA -1.050151745 0.355519557
3M4HDXPAC -0.5001358 0.365753103
3MOX4HOXPGALDOX -0.5001358 0.365753103
3MOX4HOXPGALDOX_NADP_ -0.5001358 0.365753103
3MOXTYROX -1.050151745 0.355519557
3NTD7l NaN 0
3SALACBOXL 3.46608144 0.038838792
3SALAOX NaN 0
3SALATAi 1.268792998 0.000473057
3SALATAim 1.710427512 0.000703894
3SPYRSP NaN 0
3SPYRSPm NaN 0
41R1H2MAE12BOOX -1.050151745 0.355519557
41R2A1H12BOOX -1.050151745 0.355519557
42A12BOOX -0.545088826 0.526344993
4HBZCOAFm NaN 0
4HBZFm NaN 0
4HGLSDm NaN 0
4HOXPACDOX_NADP_ -0.5001358 0.365753103
4NPHSULT 0.302526769 0.751695835
5ADTSTSTERONESULT NaN 0
5HLTDL 1.876839591 0.108759826
5HOXINDACTO2OX NaN 0
5HOXINDACTOXm NaN 0
5HOXINOXDA -1.050151745 0.355519557
5HTRPDOX 0.349314385 0.71148721
5HXKYNDCL 1.876839591 0.108759826
5HXKYNOXDA -1.050151745 0.355519557
A_MANASE -0.745683491 0.072745583
A_MANASEly 0.055390203 0.857200399
A4GALTc NaN 0
A4GALTg NaN 0
A4GNT1g NaN 0
A4GNT2g NaN 0
AACOAT NaN 0
AACTOOR NaN 0
AASAD3m NaN 0
AATAi_f NaN 0
ABO1g NaN 0
ABO2g NaN 0
ABO3g NaN 0
ABO4g NaN 0
ABO5g NaN 0
ABO6g NaN 0
ABO7g NaN 0
ABO8g NaN 0
ABO9g NaN 0
ABTArm_f NaN 0
ABTD_f NaN 0
ABUTD NaN 0
