Reaction ID	Standard reaction Gibbs energy (kJ/mol)	Uncertainty corresponding to 95% confidence interval (kJ/mol)	Standard transformed reaction Gibbs energy (kJ/mol)	Minimum transformed reaction Gibbs energy (kJ/mol)	Maximum transformed reaction Gibbs energy (kJ/mol)
10FTHF5GLUtl	0.00	0.00	-11.47	-29.29	6.34
10FTHF5GLUtm	0.00	0.00	-89.74	-107.55	-71.93
10FTHF6GLUtl	0.00	0.00	-14.54	-32.36	3.27
10FTHF6GLUtm	0.00	0.00	-104.73	-122.54	-86.91
10FTHF7GLUtl	0.00	0.00	-15.10	-32.91	2.72
10FTHF7GLUtm	0.00	0.00	-119.65	-137.46	-101.84
10FTHFtl	0.00	0.00	-4.93	-22.74	12.89
10FTHFtm	0.00	0.00	26.96	9.15	44.78
11DOCRTSLtm	0.00	0.00	0.00	-17.81	17.81
11DOCRTSLtr	0.00	0.00	0.00	-17.81	17.81
11DOCRTSTRNtm	0.00	0.00	0.00	-17.81	17.81
11DOCRTSTRNtr	0.00	0.00	0.00	-17.81	17.81
13DAMPPOX	6.60	141421.36	6.75	-277233.47	277210.15
1a_24_25VITD2Hm	-272.18	141421.36	-271.50	-277490.75	276986.66
1a_25VITD2Hm	-272.18	141421.36	-271.50	-277490.75	276986.66
1MNCAMti	-857.25	141421.36	-856.11	-278105.45	276335.49
1PPDCRp	-17.28	141421.36	-17.10	-277238.58	277204.38
24_25DHVITD2t	0.00	0.00	0.00	-17.81	17.81
24_25DHVITD2tm	0.00	0.00	-0.00	-17.81	17.81
24_25DHVITD3t	0.00	0.00	0.00	-17.81	17.81
24_25DHVITD3tm	0.00	0.00	-0.00	-17.81	17.81
24_25VITD2Hm	-272.18	141421.36	-271.50	-277490.75	276986.66
24_25VITD3Hm	-272.18	141421.36	-271.50	-277490.75	276986.66
24NPHte	0.00	0.00	0.84	-16.98	18.65
25HVITD2t	0.00	0.00	0.00	-17.81	17.81
25HVITD2tin_m	0.00	0.00	0.00	-17.81	17.81
25HVITD3t	0.00	0.00	0.00	-17.81	17.81
25HVITD3tin_m	0.00	0.00	0.00	-17.81	17.81
25VITD2Hm	-272.18	141421.36	-271.50	-277490.75	276986.66
