Metabolite ID	Standard Gibbs energy of formation (kJ/mol)	Uncertainty corresponding to 95% confidence interval (kJ/mol)	Standard transformed Gibbs energy of formation (kJ/mol)	Minimum transformed Gibbs energy of formation (kJ/mol)	Maximum transformed Gibbs energy of formation (kJ/mol)	Minimum concentration (M)	Maximum concentration (M)
10fthf5glu[c]	0.00	100000.00	1957.15	-194072.54	197945.28	1.00e-05	1.00e-02
10fthf5glu[l]	0.00	100000.00	1502.44	-194527.25	197490.56	1.00e-05	1.00e-02
10fthf5glu[m]	0.00	100000.00	2170.92	-193858.77	198159.04	1.00e-05	1.00e-02
10fthf6glu[c]	0.00	100000.00	2218.07	-193811.62	198206.19	1.00e-05	1.00e-02
10fthf6glu[l]	0.00	100000.00	1701.56	-194328.13	197689.68	1.00e-05	1.00e-02
10fthf6glu[m]	0.00	100000.00	2460.37	-193569.32	198448.49	1.00e-05	1.00e-02
10fthf7glu[c]	0.00	100000.00	2479.06	-193550.63	198467.19	1.00e-05	1.00e-02
10fthf7glu[l]	0.00	100000.00	1903.26	-194126.43	197891.39	1.00e-05	1.00e-02
10fthf7glu[m]	0.00	100000.00	2749.83	-193279.86	198737.96	1.00e-05	1.00e-02
10fthf[c]	0.00	100000.00	911.91	-195117.78	196900.03	1.00e-05	1.00e-02
10fthf[l]	0.00	100000.00	698.67	-195331.02	196686.80	1.00e-05	1.00e-02
10fthf[m]	0.00	100000.00	1008.72	-195020.97	196996.84	1.00e-05	1.00e-02
11docrtsl[c]	0.00	100000.00	1304.77	-194724.92	197292.90	1.00e-05	1.00e-02
11docrtsl[m]	0.00	100000.00	1447.28	-194582.41	197435.40	1.00e-05	1.00e-02
11docrtsl[r]	0.00	100000.00	1304.77	-194724.92	197292.90	1.00e-05	1.00e-02
11docrtstrn[c]	0.00	100000.00	1304.77	-194724.91	197292.90	1.00e-05	1.00e-02
11docrtstrn[m]	0.00	100000.00	1447.28	-194582.41	197435.40	1.00e-05	1.00e-02
11docrtstrn[r]	0.00	100000.00	1304.77	-194724.91	197292.90	1.00e-05	1.00e-02
13dampp[c]	0.00	100000.00	521.65	-195508.04	196509.77	1.00e-05	1.00e-02
h2o[c]	-237.23	1.56	-150.25	-153.30	-147.19	1.00e+00	1.00e+00
o2[c]	16.40	4.86	16.40	-22.82	14.06	1.00e-05	1.00e-02
bamppald[c]	0.00	100000.00	347.92	-195681.76	196336.05	1.00e-05	1.00e-02
h2o2[c]	-134.03	4.86	-47.05	-86.27	-49.39	1.00e-05	1.00e-02
nh4[c]	-80.20	4.86	93.67	65.41	85.12	7.00e-04	9.00e-04
h2o[m]	-237.23	1.56	-140.74	-143.80	-137.69	1.00e+00	1.00e+00
o2[m]	16.40	4.86	16.40	-22.82	14.06	1.00e-05	1.00e-02
2425dhvitd2[m]	0.00	100000.00	2122.68	-193907.01	198110.80	1.00e-05	1.00e-02
h[m]	-0.00	0.00	47.50	0.00	0.00	1.00e-08	1.00e-08
nadph[m]	-412.49	50000.00	841.81	-97199.76	98827.70	1.00e-07	4.20e-03
1a2425thvitd2[m]	0.00	100000.00	2122.68	-193907.01	198110.80	1.00e-05	1.00e-02
nadp[m]	-431.04	50000.00	774.96	-97266.61	98758.19	1.00e-07	1.50e-03
2425dhvitd3[m]	0.00	100000.00	2122.68	-193907.01	198110.80	1.00e-05	1.00e-02
1a25dhvitd2[m]	0.00	100000.00	2122.68	-193907.01	198110.80	1.00e-05	1.00e-02
1a25dhvitd3[m]	0.00	100000.00	2122.68	-193907.01	198110.80	1.00e-05	1.00e-02
h[c]	-0.00	0.00	42.75	0.00	0.00	6.31e-08	6.31e-08
1mncam[c]	0.00	100000.00	391.05	-195638.64	196379.17	1.00e-05	1.00e-02
1mncam[e]	0.00	100000.00	401.87	-195627.82	196390.00	1.00e-05	1.00e-02
atp[c]	0.00	100000.00	520.03	-195497.12	196506.32	1.29e-03	4.90e-03
adp[c]	0.00	100000.00	520.03	-195521.53	196503.87	1.00e-07	1.90e-03
pi[c]	-1094.48	1.46	-1052.14	-1072.81	-1062.35	1.00e-03	6.30e-03
h[x]	-0.00	0.00	41.56	0.00	0.00	1.00e-07	1.00e-07
1pipdn2c[x]	-0.00	100000.00	380.74	-195648.95	196368.87	1.00e-05	1.00e-02
nadh[x]	430.40	50000.00	1572.63	-96457.06	99560.76	1.00e-05	1.00e-02
Lpipecol[x]	0.00	100000.00	465.35	-195564.34	196453.48	1.00e-05	1.00e-02
nad[x]	413.12	50000.00	1512.49	-96517.20	99500.61	1.00e-05	1.00e-02
2425dhvitd2[c]	0.00	100000.00	1913.67	-194116.02	197901.79	1.00e-05	1.00e-02
2425dhvitd2[e]	0.00	100000.00	1965.92	-194063.77	197954.05	1.00e-05	1.00e-02
2425dhvitd3[c]	0.00	100000.00	1913.67	-194116.02	197901.79	1.00e-05	1.00e-02
2425dhvitd3[e]	0.00	100000.00	1965.92	-194063.77	197954.05	1.00e-05	1.00e-02
25hvitd2[m]	0.00	100000.00	2122.68	-193907.01	198110.80	1.00e-05	1.00e-02
25hvitd3[m]	0.00	100000.00	2122.68	-193907.01	198110.80	1.00e-05	1.00e-02
24nph[e]	0.00	100000.00	219.81	-195809.87	196207.94	1.00e-05	1.00e-02
24nph[c]	0.00	100000.00	214.71	-195814.98	196202.84	1.00e-05	1.00e-02
25hvitd2[c]	0.00	100000.00	1913.67	-194116.02	197901.79	1.00e-05	1.00e-02
25hvitd2[e]	0.00	100000.00	1965.92	-194063.77	197954.05	1.00e-05	1.00e-02
25hvitd3[c]	0.00	100000.00	1913.67	-194116.02	197901.79	1.00e-05	1.00e-02
25hvitd3[e]	0.00	100000.00	1965.92	-194063.77	197954.05	1.00e-05	1.00e-02
2amac[c]	0.00	100000.00	217.30	-195812.39	196205.43	1.00e-05	1.00e-02
pyr[c]	0.00	100000.00	130.48	-195899.21	196118.60	1.00e-05	1.00e-02
nadph[c]	-412.49	50000.00	718.23	-97323.33	98697.89	1.00e-07	3.75e-04
nadp[c]	-431.04	50000.00	655.81	-97385.75	98624.73	1.00e-07	5.83e-06
paps[c]	0.00	100000.00	478.29	-195551.40	196466.42	1.00e-05	1.00e-02
Lcyst[c]	0.00	100000.00	260.84	-195768.85	196248.96	1.00e-05	1.00e-02
pap[c]	0.00	100000.00	478.01	-195551.68	196466.13	1.00e-05	1.00e-02
L2aadp[c]	0.00	100000.00	434.90	-195594.79	196423.02	1.00e-05	1.00e-02
L2aadp[m]	0.00	100000.00	482.29	-195547.39	196470.42	1.00e-05	1.00e-02
akg[m]	0.00	100000.00	192.97	-195836.72	196181.10	1.00e-05	1.00e-02
akg[c]	0.00	100000.00	173.97	-195855.72	196162.09	1.00e-05	1.00e-02
2dr1p[c]	0.00	100000.00	391.03	-195638.66	196379.15	1.00e-05	1.00e-02
drib[c]	0.00	100000.00	434.92	-195594.76	196423.05	1.00e-05	1.00e-02
nadh[c]	430.40	50000.00	1604.70	-96431.13	99584.41	9.26e-07	3.83e-04
nad[c]	413.12	50000.00	1543.56	-96480.06	99525.03	1.05e-04	7.57e-04
2hb[c]	0.00	100000.00	304.45	-195725.24	196292.57	1.00e-05	1.00e-02
2obut[c]	0.00	100000.00	217.46	-195812.23	196205.59	1.00e-05	1.00e-02
h[e]	-0.00	0.00	43.94	0.00	0.00	3.98e-08	3.98e-08
2hb[e]	0.00	100000.00	312.76	-195716.93	196300.88	1.00e-05	1.00e-02
hco3[e]	-587.50	4.86	-542.94	-582.16	-545.28	1.00e-05	1.00e-02
hco3[c]	-587.50	4.86	-544.19	-583.41	-546.53	1.00e-05	1.00e-02
na1[e]	0.00	100000.00	-0.94	-196006.15	195994.26	1.33e-01	1.55e-01
na1[c]	0.00	100000.00	-1.05	-196042.61	195989.44	1.00e-07	2.50e-02
2mcit[c]	0.00	100000.00	304.40	-195725.29	196292.52	1.00e-05	1.00e-02
2mcit[e]	0.00	100000.00	312.73	-195716.96	196300.85	1.00e-05	1.00e-02
nadh[m]	430.40	50000.00	1732.95	-96308.61	99715.39	1.00e-07	1.10e-03
nad[m]	413.12	50000.00	1667.37	-96352.23	99654.75	5.00e-04	7.50e-03
2oxoadp[m]	0.00	100000.00	289.46	-195740.23	196277.58	1.00e-05	1.00e-02
coa[m]	0.00	100000.00	1543.69	-194472.09	197529.38	2.20e-03	3.90e-03
co2[m]	-386.00	4.86	-386.00	-425.22	-388.34	1.00e-05	1.00e-02
glutcoa[m]	0.00	100000.00	1784.94	-194244.75	197773.07	1.00e-05	1.00e-02
2oxoadp[c]	0.00	100000.00	260.95	-195768.74	196249.08	1.00e-05	1.00e-02
34dhmald[c]	0.00	100000.00	347.89	-195681.79	196336.02	1.00e-05	1.00e-02
34dhoxpeg[c]	0.00	100000.00	434.88	-195594.81	196423.00	1.00e-05	1.00e-02
34dhoxpeg[e]	0.00	100000.00	446.73	-195582.96	196434.85	1.00e-05	1.00e-02
34dhpha[c]	0.00	100000.00	304.41	-195725.28	196292.53	1.00e-05	1.00e-02
amet[c]	0.00	100000.00	1000.30	-195029.39	196988.42	1.00e-05	1.00e-02
ahcys[c]	5.06	70710.68	874.89	-137747.73	139455.94	1.00e-05	1.00e-02
homoval[c]	0.00	100000.00	391.42	-195638.27	196379.55	1.00e-05	1.00e-02
34dhphe[e]	0.00	100000.00	491.38	-195538.31	196479.50	1.00e-05	1.00e-02
34dhphe[c]	0.00	100000.00	478.35	-195551.33	196466.48	1.00e-05	1.00e-02
34dhpac[c]	0.00	100000.00	347.90	-195681.79	196336.03	1.00e-05	1.00e-02
34dhoxmand[c]	0.00	100000.00	304.40	-195725.29	196292.53	1.00e-05	1.00e-02
34hpp[m]	0.00	100000.00	337.56	-195692.13	196325.68	1.00e-05	1.00e-02
34hpl[m]	0.00	100000.00	434.04	-195595.65	196422.17	1.00e-05	1.00e-02
co2[c]	-386.00	4.86	-386.00	-425.22	-388.34	1.00e-05	1.00e-02
34hpp[c]	0.00	100000.00	304.42	-195725.26	196292.55	1.00e-05	1.00e-02
hgentis[c]	0.00	100000.00	304.43	-195725.26	196292.55	1.00e-05	1.00e-02
35cgmp[c]	0.00	100000.00	478.26	-195551.43	196466.38	1.00e-05	1.00e-02
35cgmp[n]	0.00	100000.00	478.26	-195551.43	196466.38	1.00e-05	1.00e-02
3aib[m]	0.00	100000.00	434.16	-195595.53	196422.29	1.00e-05	1.00e-02
2mop[m]	0.00	100000.00	241.21	-195788.48	196229.34	1.00e-05	1.00e-02
glu_L[m]	0.00	100000.00	385.81	-195643.88	196373.94	1.00e-05	1.00e-02
3aib[c]	0.00	100000.00	391.43	-195638.26	196379.55	1.00e-05	1.00e-02
3dphb[m]	0.00	100000.00	4100.48	-191929.21	200088.60	1.00e-05	1.00e-02
3dpdhb[m]	0.00	100000.00	4100.40	-191929.29	200088.52	1.00e-05	1.00e-02
3dsphgn[c]	0.00	100000.00	1651.18	-194378.51	197639.31	1.00e-05	1.00e-02
sphgn[c]	0.00	100000.00	1739.66	-194290.03	197727.79	1.00e-05	1.00e-02
3hanthrn[c]	0.00	100000.00	304.43	-195725.26	196292.56	1.00e-05	1.00e-02
cmusa[c]	0.00	100000.00	260.22	-195769.47	196248.34	1.00e-05	1.00e-02
b2coa[m]	0.00	100000.00	1736.67	-194293.02	197724.79	1.00e-05	1.00e-02
3hbcoa_R[m]	0.00	100000.00	1833.19	-194196.50	197821.31	1.00e-05	1.00e-02
3hibutcoa[m]	0.00	100000.00	1833.19	-194196.50	197821.31	1.00e-05	1.00e-02
3hmp[m]	0.00	100000.00	337.70	-195691.99	196325.82	1.00e-05	1.00e-02
glu_L[c]	0.00	100000.00	347.92	-195681.77	196336.04	1.00e-05	1.00e-02
hLkynr[c]	0.00	100000.00	521.82	-195507.87	196509.94	1.00e-05	1.00e-02
42A3HP24DB[c]	0.00	100000.00	347.91	-195681.78	196336.03	1.00e-05	1.00e-02
dopa[c]	0.00	100000.00	521.87	-195507.82	196510.00	1.00e-05	1.00e-02
coa[c]	0.00	100000.00	1391.48	-194635.45	197368.13	2.92e-05	1.17e-04
3hpp[c]	0.00	100000.00	217.46	-195812.23	196205.58	1.00e-05	1.00e-02
3mox4hpac[c]	0.00	100000.00	434.92	-195594.77	196423.04	1.00e-05	1.00e-02
