Taxon,mean,SD,minimum,maximum,non_zero_count
_Bacteroides_pectinophilus,3.733449629915965e-05,4.8574046369540944e-05,1.0878149496232897e-06,0.00012273282975681368,5
_Clostridiaceae_bacterium,0.007989161757955065,0.006299507540466597,0.0005541998777965422,0.016657793773779486,5
_Clostridium_innocuum,0.006103975238960019,0.00362739323763528,0.0010911620725452076,0.00988631083306696,5
_Clostridium_leptum,0.001511264082271764,0.0011005860051009736,0.0008702271765778308,0.003440159535987939,5
_Clostridium_methylpentosum,9.46885253853786e-06,7.88784539345807e-06,0.0,2.0557609516474967e-05,4
_Erysipelotrichaceae_bacterium,0.008999924752145543,0.011632405150918018,0.00028151645618692693,0.022200149992492493,5
_Eubacterium_brachy,3.332011612338431e-06,3.569356453267436e-06,0.0,8.602912678090069e-06,3
_Eubacterium_saphenum,1.8924464268369822e-06,2.942842455561157e-06,0.0,6.703568320589664e-06,2
_Eubacterium_siraeum,0.005903691210847307,0.010715198338793317,7.592893734562155e-05,0.024791923640461837,5
_Eubacterium_sulci,9.876741124115487e-06,2.1220633541838525e-05,0.0,4.7817985619537795e-05,2
_Lachnospraceae_bacterium,0.012560099037387872,0.008894198328407243,0.004303228584563638,0.02219969906547717,5
_OL,1.9924160674807413e-06,4.455177766349746e-06,0.0,9.962080337403707e-06,1
_Oscillospraceae_bacterium,0.0319274850840519,0.027849463250318215,0.001977061831903805,0.0765155512058899,5
_bacterium,0.09185094356340816,0.04307430436871952,0.018529672495737018,0.13033608871192692,5
_bacterium_2_2_44A,0.00031213190113153294,0.0006979481488763511,0.0,0.0015606595056576647,1
_bacterium_21,0.0005490657233698617,0.0007959759367942372,0.0,0.0018104420372021335,4
_bacterium_3_1_57FAA_CT1,9.152490703102244e-06,8.616908739184412e-06,0.0,2.3311267989524673e-05,4
_bacterium_5_2_54FAA,3.739305687945117e-05,5.442288745101041e-05,0.0,0.00013273065274767534,4
_bacterium_6_1_37FAA,9.706808301214849e-06,1.549456637708998e-05,0.0,3.552891209912522e-05,2
_bacterium_D16,9.159306670811972e-05,8.494279004642398e-05,9.622978400513716e-06,0.00023203970415407437,5
_bacterium_I46,3.150677110677142e-05,7.045128194626718e-05,0.0,0.0001575338555338571,1
_bacterium_KB18,1.9200328311950264e-06,2.198897171999934e-06,0.0,5.180281775449928e-06,3
_bacterium_MS3,7.839218733231555e-06,1.4554388450690412e-05,0.0,3.349806059365657e-05,2
_bacterium_oral_taxon_082,2.8450544836301424e-07,6.361735225087561e-07,0.0,1.4225272418150712e-06,1
_bacterium_oral_taxon_500,2.0110704961768993e-07,4.4968903369957773e-07,0.0,1.0055352480884496e-06,1
Actinomyces_Actinomyces_sp,2.5823550869853083e-05,4.567483608645351e-05,2.2332040395771047e-06,0.00010699274282371581,5
Actinomyces_sp_HPA0247,1.9525677461311265e-06,4.3660742110227515e-06,0.0,9.762838730655633e-06,1
Actinomyces_sp_ICM47,3.2277140293188007e-06,7.2173879814865874e-06,0.0,1.6138570146594003e-05,1
Actinomyces_sp_ph3,2.032264388830356e-06,4.5442813216767405e-06,0.0,1.0161321944151781e-05,1
Adlercreutzia_muris,3.012410629726033e-07,6.735954944210359e-07,0.0,1.5062053148630165e-06,1
Akkermansia_sp_KLE1798,0.0002909051341655557,0.00040049449451771003,0.0,0.0007859564569876363,2
Alistipes_sp_HGB5,0.0009360776919415661,0.0009184275565234144,0.0,0.002050793858257927,3
Alistipes_sp_cv1,0.00013574775019660652,0.0002676788357334676,0.0,0.0006134490964073302,3
Allofournierella_massiliensis,3.5487790903163214e-05,6.26219057538451e-05,1.0878149496232897e-06,0.00014639482009720615,5
Amedibacterium_intestinale,7.685175860199474e-06,1.1297820960521454e-05,0.0,2.5026655063534744e-05,2
Anaerotruncus_Anaerotruncus_sp,0.00012287423848866263,0.00025630325698584584,2.34298604534247e-06,0.0005811952643859136,5
Bacteroides_Bacteroides_avicola,7.147544914727176e-06,6.520176967552935e-06,0.0,1.440462400956467e-05,4
Bacteroides_sp_14,0.0019137499612703148,0.0031822794874845927,2.536183347956423e-05,0.0074069516089182155,5
Bacteroides_sp_3_1_33FAA,0.010448776341034877,0.007619943315641935,0.0016833923354144782,0.020956066209914827,5
Bacteroides_sp_D2,0.001217932884455046,0.0014568733564895376,5.8097592111777086e-06,0.003575564061338705,5
Bacteroides_sp_D22,0.009075091958985395,0.005729814488690462,0.0026902500484914434,0.01618783925817691,5
Bacteroides_sp_HPS0048,0.003320386628661097,0.0032060244624629876,0.00041143391793477306,0.00804388650534114,5
Bacteroides_sp_f07,7.510496115404386e-05,7.537784779313251e-05,1.6088563969415194e-05,0.00019978587213265783,5
Bacteroides_vicugnae,0.00031541443400989814,0.00032323277844615515,2.346248912206382e-06,0.0006710144677714738,5
Barnesiella_Barnesiella_sp,0.0008616774827250777,0.001801837173660704,3.5981571410616504e-06,0.004084180622711896,5
Bifidobacterium_Bifidobacterium_sp,5.81709924943995e-06,6.051078084800297e-06,1.0509195480362845e-06,1.6138570146594003e-05,5
Bifidobacterium_faecale,2.9886241012211117e-06,6.6827666495246186e-06,0.0,1.494312050610556e-05,1
Blautia_Blautia_sp,0.001998706273275424,0.0022968174259280997,0.00043151243228652423,0.005812440638505945,5
Blautia_argi,9.939130890383367e-06,1.3013198796156637e-05,0.0,2.4579750508828766e-05,3
Blautia_glucerasea,7.024355402463908e-05,8.291095859708225e-05,1.171493022671235e-06,0.00020143326442230295,5
Blautia_massiliensis_,0.00045335085730548896,0.0003402320308621074,5.706844581869873e-05,0.0009595040789537339,5
Borkfalkia_Borkfalkia_ceftriaxoniphila,1.0345037148039593e-05,2.1394712873227858e-05,0.0,4.853732003222878e-05,2
Butyricicoccus_Butyricicoccus_sp,2.3908992809768895e-07,5.346213319619695e-07,0.0,1.1954496404884448e-06,1
Christensenella_hongkongensis,1.2951054765851497e-06,2.3320594767191306e-06,0.0,5.379523382198002e-06,2
Clostridium_Clostridium_sp,0.0026108089895895917,0.003018654280207842,0.0001281948079094523,0.0062670542967806,5
Clostridium_sp_7_3_54FAA,0.00036683494981757406,0.00036513655987727953,1.1586328007693322e-05,0.0009233048100225497,5
Clostridium_sp_AT4,0.0007696913514084814,0.0013394932749001157,8.768032005821973e-06,0.0031241210864248648,5
Clostridium_sp_ATCC_29733,1.2191991227865209e-05,1.0661798204841166e-05,3.8095833616315317e-06,3.0085482618959195e-05,5
Clostridium_sp_ATCC_BAA_442,0.004188309718062161,0.005499306644700841,4.7529145491232965e-05,0.01313110838776987,5
Clostridium_sp_D5,2.9632325335706525e-06,4.0656544779976505e-06,0.0,7.770422663174891e-06,2
Clostridium_sp_HGF2,1.3831695968150007e-05,3.092861242889318e-05,0.0,6.915847984075004e-05,1
Clostridium_sp_KLE_1755,0.00020569617233206708,0.0002724459687265083,4.4433056788458985e-05,0.0006808590890945568,5
Clostridium_sp_Marseille_P299,1.4681313674779736e-05,2.0798248296531796e-05,0.0,4.424355091589178e-05,2
Clostridium_sp_SS2,0.00029905905269520444,0.0004145255227133784,0.0,0.0010019600116508017,4
Collinsella_Collinsella_sp,3.586348921465334e-07,8.019319979429542e-07,0.0,1.7931744607326671e-06,1
Collinsella_sp_4_8_47FAA,2.796535461955743e-06,5.008170491136055e-06,0.0,1.15560131913883e-05,2
Coprobacillus_Coprobacillus_sp,0.00029331819550746925,0.0001854883309252186,9.363576374065086e-05,0.0005341298602894416,5
Coprobacillus_sp_8_2_54BFAA,1.472793543139703e-05,2.211601218941867e-05,1.0041368765753444e-06,5.362854656471731e-05,5
Coprobacillus_sp_K06,1.1798119897437448e-06,2.070874744989644e-06,0.0,4.781798561953779e-06,2
Coprococcus_Coprococcus_sp,7.854210515472154e-05,0.00014941862845132783,0.0,0.00034329328842693175,3
Coprococcus_sp_HPP0074,1.2074497022317158e-05,1.4526387164556775e-05,0.0,3.3103965763142965e-05,3
Dorea_Dorea_massiliensis,2.035591743800721e-05,2.6743485140341773e-05,1.0878149496232897e-06,6.482080804304101e-05,5
Dorea_Dorea_sp,0.00019509629427150939,0.00031844945242801665,0.0,0.0007497941166579539,4
Dorea_sp_D27,8.454888005614046e-07,1.8905704322700632e-06,0.0,4.227444002807023e-06,1
Eggerthella_Eggerthella_sp,2.3395478567693365e-06,2.80191031703163e-06,0.0,6.815294459266158e-06,3
Eggerthella_sp_1_3_56FAA,6.964135103467086e-06,6.4561566723994595e-06,0.0,1.3399224237462628e-05,3
Enterocloster_aldenensis,0.00016665580684997695,0.00017212094079476552,1.5344056010188452e-05,0.00042344206558391374,5
Enterocloster_aspragiformis,0.0003749231971195514,0.00043615254681357807,4.712817203129311e-05,0.000896713989017544,5
Eubacterium_Eubacterium_sp,0.0005000067122031616,0.000858352231021456,9.455622254417826e-06,0.0020107462953015643,5
Eubacterium_sp_SB2,1.7548007356395738e-05,1.0014180034802881e-05,4.68597209068494e-06,3.0061824019961053e-05,5
Faecalibacterium_Faecalibacterium_sp,0.0029734082125676374,0.004776553209008533,0.00024775428344955407,0.011471335508520367,5
Faecalibacterium_duncaniae,0.0004635956263624163,0.0007795271783483746,2.0333771750650724e-05,0.001843009013223758,5
Faecalicatena_contorta,4.323575380317297e-05,8.307577412947026e-05,1.7572395340068526e-06,0.0001916704256916473,5
Faecalicatena_fissicatena,1.0478707950840451e-05,1.5811697058894355e-05,0.0,3.820356802536717e-05,4
Faecalimicrobium_dakarense,1.283890400852503e-06,2.870866211965651e-06,0.0,6.419452004262516e-06,1
Faecalispra_sprospaeroides,2.5249009987248897e-06,3.4960494042778477e-06,0.0,7.045740004678372e-06,2
