Metabolite ID	Standard Gibbs energy of formation (kJ/mol)	Uncertainty corresponding to 95% confidence interval (kJ/mol)	Standard transformed Gibbs energy of formation (kJ/mol)	Minimum transformed Gibbs energy of formation (kJ/mol)	Maximum transformed Gibbs energy of formation (kJ/mol)	Minimum concentration (M)	Maximum concentration (M)
10fthf5glu[c]	-2602.41	173205.12	-645.26	-340156.99	338824.91	1.00e-05	1.00e-02
10fthf5glu[l]	-2602.41	173205.12	-1099.97	-340611.70	338370.19	1.00e-05	1.00e-02
10fthf5glu[m]	-2602.41	173205.12	-431.49	-339943.22	339038.67	1.00e-05	1.00e-02
10fthf6glu[c]	-2442.92	519615.25	-224.85	-1018700.43	1018209.17	1.00e-05	1.00e-02
10fthf6glu[l]	-2442.92	519615.25	-741.36	-1019216.94	1017692.66	1.00e-05	1.00e-02
10fthf6glu[m]	-2442.92	519615.25	17.45	-1018458.13	1018451.47	1.00e-05	1.00e-02
10fthf7glu[c]	-3625.95	173205.16	-1146.89	-340658.70	338323.36	1.00e-05	1.00e-02
10fthf7glu[l]	-3625.95	173205.16	-1722.69	-341234.50	337747.56	1.00e-05	1.00e-02
10fthf7glu[m]	-3625.95	173205.16	-876.12	-340387.93	338594.13	1.00e-05	1.00e-02
10fthf[c]	-346.78	115470.07	565.13	-225785.90	226874.59	1.00e-05	1.00e-02
10fthf[l]	-346.78	115470.07	351.89	-225999.13	226661.35	1.00e-05	1.00e-02
10fthf[m]	-346.78	115470.07	661.93	-225689.09	226971.39	1.00e-05	1.00e-02
11docrtsl[c]	-1676.72	250713.28	-371.95	-491799.66	491014.20	1.00e-05	1.00e-02
11docrtsl[m]	-1676.72	250713.28	-229.44	-491657.15	491156.70	1.00e-05	1.00e-02
11docrtsl[r]	-1676.72	250713.28	-371.95	-491799.66	491014.20	1.00e-05	1.00e-02
11docrtstrn[c]	-1479.27	250713.28	-174.50	-491602.21	491211.65	1.00e-05	1.00e-02
11docrtstrn[m]	-1479.27	250713.28	-31.99	-491459.70	491354.15	1.00e-05	1.00e-02
11docrtstrn[r]	-1479.27	250713.28	-174.50	-491602.21	491211.65	1.00e-05	1.00e-02
13dampp[c]	18.28	200000.00	539.92	-391489.77	392528.05	1.00e-05	1.00e-02
h2o[c]	-237.22	6.41	-150.24	-162.80	-137.68	1.00e+00	1.00e+00
o2[c]	16.40	32.16	16.40	-76.32	67.56	1.00e-05	1.00e-02
bamppald[c]	-104.43	100000.00	243.50	-195786.19	196231.62	1.00e-05	1.00e-02
h2o2[c]	-134.03	32.16	-47.05	-139.77	4.11	1.00e-05	1.00e-02
nh4[c]	-80.20	32.16	93.67	11.91	138.62	7.00e-04	9.00e-04
h2o[m]	-237.22	6.41	-140.74	-153.30	-128.18	1.00e+00	1.00e+00
o2[m]	16.40	32.16	16.40	-76.32	67.56	1.00e-05	1.00e-02
2425dhvitd2[m]	-571.85	106904.53	1550.83	-208011.74	211071.83	1.00e-05	1.00e-02
h[m]	-0.00	0.00	47.50	0.00	0.00	1.00e-08	1.00e-08
nadph[m]	-2636.90	115470.07	-1382.61	-227745.51	224924.62	1.00e-07	4.20e-03
1a2425thvitd2[m]	-747.82	106904.53	1374.86	-208187.70	210895.86	1.00e-05	1.00e-02
nadp[m]	-2655.47	115470.07	-1449.48	-227812.38	224855.09	1.00e-07	1.50e-03
2425dhvitd3[m]	-643.27	106904.53	1479.40	-208083.15	211000.40	1.00e-05	1.00e-02
1a25dhvitd2[m]	-578.80	106904.53	1543.88	-208018.69	211064.87	1.00e-05	1.00e-02
1a25dhvitd3[m]	-655.71	106904.52	1466.96	-208095.59	210987.96	1.00e-05	1.00e-02
h[c]	-0.00	0.00	42.75	0.00	0.00	6.31e-08	6.31e-08
1mncam[c]	-77.15	45.38	313.90	195.27	390.97	1.00e-05	1.00e-02
1mncam[e]	-77.15	45.38	324.73	206.10	401.79	1.00e-05	1.00e-02
atp[c]	-1039.99	100000.01	-519.96	-196537.13	195466.34	1.29e-03	4.90e-03
